config,n,micro_recall,micro_prec,micro_f1,macro_f1,recall_seguranca_macro,recall_nome,recall_local,recall_doc,latencia_med_s,compl_tok_med
encadeado_qwen3-8b_llm_ner,996,0.9308,0.3453,0.5037,0.5731,0.9856,0.9761,0.9575,0.2615,9.588,46
encadeado_qwen3-8b_ner_llm,996,0.8955,0.3294,0.4816,0.5158,0.9846,0.9442,0.9150,0.2615,11.238,54
hibrido_qwen3-8b,996,0.9330,0.3381,0.4964,0.5707,0.9856,0.9801,0.9588,0.2615,6.995,46
llm_gemma3-12b,996,0.8572,0.7156,0.7800,0.5851,0.9699,0.9004,0.8738,0.2615,4.224,33
llm_llama3.1-8b,996,0.8690,0.7201,0.7876,0.6206,0.9742,0.9422,0.8656,0.2615,3.293,56
llm_qwen3-8b,996,0.8558,0.7977,0.8257,0.6481,0.9661,0.9323,0.8477,0.2615,3.666,47
ner_bertimbau,996,0.8344,0.3396,0.4828,0.5150,0.8319,0.8367,0.8752,0.2615,0.286,0
ner_spacy,996,0.8374,0.3262,0.4695,0.5115,0.9669,0.8327,0.8834,0.2615,0.020,0
presidio,996,0.8374,0.3262,0.4695,0.5115,0.9669,0.8327,0.8834,0.2615,0.021,0
regex_only,996,0.2031,0.7206,0.3169,0.4327,0.6516,0.0000,0.2743,0.2615,0.001,0
